ID,sequence,coordinates,start_coordinates,strong_k,mid_k,food_k,containment,error
a31,"plate,plate_small,cup,spoon_small,fork,knife,spoon,fork,knife,spoon","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);plate_small: (-0.185,0.928,0.48103500000000005);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.525007,0.923283,0.438);cup: (-0.66,0.9232809999999999,0.438);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999);fork: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651);spoon: (0.071911,0.746328,0.519848);fork: (-0.20802600000000002,0.7442439999999999,0.557671);k: (0.002996,0.733422,0.533535);spoon: (0.146585,0.7467189999999999,0.516146)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.824
a35,"cup,glass,plate,plate_small,glass,plate,plate_small,cup","cup: (-0.525007,0.923283,0.438);g: (-0.7159989999999999,1.23301,0.469001);plate: (0.008041,0.9296049999999999,0.68902);plate_small: (-0.18499200000000002,0.915077,0.481025);g: (-0.595001,1.233,0.468999);plate: (0.008034,0.957082,0.6890539999999999);plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.66,0.9232809999999999,0.438)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.785
a37,"plate,wineglass,plate_small,cup,glass,fork,knife,fork,spoon,spoon_small,fork_small,spoon_small,fork_small","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);plate_small: (-0.18499200000000002,0.90217,0.481005);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.525007,0.923283,0.438);cup: (-0.66,0.9232809999999999,0.438);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);fork: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);k: (-0.07699199999999999,0.733425,0.531662);fork: (-0.251825,0.744246,0.557668);spoon: (0.10966,0.7466,0.505875);spoon: (0.146585,0.7467189999999999,0.516146);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.606068,0.743321,0.524829);e: (-0.765776,0.742873,0.515548)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.862
a39,"plate_small,cup,wineglass,glass,spoon_small,knife","plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.525007,0.923283,0.438);wineglass: (-0.196022,1.35572,0.466005);g: (-0.595001,1.233,0.468999);r: (-0.606068,0.743321,0.524829);k: (-0.030993,0.7334229999999999,0.530651)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.723
a40,"wineglass,plate,glass,spoon,fork,knife","wineglass: (-0.196022,1.35572,0.466005);plate: (0.008034,0.957082,0.6890539999999999);g: (-0.595001,1.233,0.468999);spoon: (0.10966,0.7466,0.505875);fork: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.723
a43,"plate,wineglass,plate_small,fork,spoon,glass","plate: (0.008034,0.957082,0.6890539999999999);wineglass: (-0.196022,1.35572,0.466005);plate_small: (-0.185,0.928,0.48103500000000005);fork: (-0.165225,0.7442479999999999,0.557615);spoon: (0.10966,0.7466,0.505875);g: (-0.595001,1.233,0.468999)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.723
a45,"plate,plate_small,cup,plate,plate_small,cup,wineglass,glass,knife,fork,spoon","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.525007,0.923283,0.438);plate: (0.008001000000000001,0.902166,0.689002);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.66,0.9232809999999999,0.438);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);wineglass: (0.083,1.35572,0.466);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);g: (-0.8379989999999999,1.233,0.468999);k: (0.002996,0.733422,0.533535);k: (-0.030993,0.7334229999999999,0.530651);k: (-0.07699199999999999,0.733425,0.531662);fork: (-0.165225,0.7442479999999999,0.557615);spoon: (0.10966,0.7466,0.505875)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.838
a47,"plate,plate_small,cup,glass,wineglass,glass","plate: (0.008041,0.9296049999999999,0.68902);plate: (0.008001000000000001,0.902166,0.689002);plate_small: (-0.185,0.928,0.48103500000000005);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.525007,0.923283,0.438);cup: (-0.66,0.9232809999999999,0.438);g: (-0.595001,1.233,0.468999);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.7159989999999999,1.23301,0.469001)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.723
a51,"plate,wineglass,glass,plate_small,cup,knife,fork,spoon,fork,knife,spoon,spoon_small,fork_small,tray","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (0.083,1.35572,0.466);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);plate_small: (-0.18499200000000002,0.915077,0.481025);plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.66,0.9232809999999999,0.438);cup: (-0.525007,0.923283,0.438);k: (0.002996,0.733422,0.533535);fork: (-0.165225,0.7442479999999999,0.557615);spoon: (0.10966,0.7466,0.505875);fork: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);spoon: (0.071911,0.746328,0.519848);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884);t: (-0.649,1.52939,0.68)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.878
a55,"plate_small,cup,plate,wineglass,glass,fork,knife,spoon,knife,fork,spoon,spoon_small,fork_small,spoon_small,fork_small","plate_small: (-0.185,0.928,0.48103500000000005);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.525007,0.923283,0.438);cup: (-0.66,0.9232809999999999,0.438);plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);fork: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);spoon: (0.10966,0.7466,0.505875);k: (-0.07699199999999999,0.733425,0.531662);fork: (-0.251825,0.744246,0.557668);spoon: (0.146585,0.7467189999999999,0.516146);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548);r: (-0.606068,0.743321,0.524829);e: (-0.7940520000000001,0.7428739999999999,0.503884)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.878
a56,"cup,plate_small,plate,wineglass,glass,wineglass,plate,spoon_small,fork_small,spoon,knife","cup: (-0.525007,0.923283,0.438);cup: (-0.7949970000000001,0.9232809999999999,0.438);cup: (-0.66,0.9232809999999999,0.438);plate_small: (-0.185,0.928,0.48103500000000005);plate_small: (-0.18499200000000002,0.915077,0.481025);plate_small: (-0.18499300000000002,0.902176,0.48100600000000004);plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);wineglass: (0.083,1.35572,0.466);plate: (0.008001000000000001,0.902166,0.689002);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.7940520000000001,0.7428739999999999,0.503884);s: (0.071911,0.746328,0.519848);k: (-0.07699199999999999,0.733425,0.531662)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.838
a59,"plate,wineglass,tray,fork_small,spoon_small,fork,knife,fork","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);t: (-0.649,1.52939,0.68);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999);fork: (-0.251825,0.744246,0.557668);k: (-0.07699199999999999,0.733425,0.531662);k: (-0.030993,0.7334229999999999,0.530651);fork: (-0.20802600000000002,0.7442439999999999,0.557671)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.785
a60,"plate,plate_small,cup,wineglass,glass,glass,plate,fork,knife,fork,knife,spoon,spoon_small,fork_small,spoon_small","plate: (0.008041,0.9296049999999999,0.68902);plate_small: (-0.185,0.928,0.48103500000000005);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.525007,0.923283,0.438);cup: (-0.66,0.9232809999999999,0.438);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);plate: (0.008001000000000001,0.902166,0.689002);fork: (-0.165225,0.7442479999999999,0.557615);k: (-0.07699199999999999,0.733425,0.531662);fork: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);spoon: (0.10966,0.7466,0.505875);spoon: (0.146585,0.7467189999999999,0.516146);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.606068,0.743321,0.524829)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.878
a61,"wineglass,plate,plate_small,fork,cup,glass,knife,spoon_small,plate,wineglass,glass,fork,knife,spoon,plate_small,cup,spoon_small","wineglass: (-0.196022,1.35572,0.466005);plate: (0.008034,0.957082,0.6890539999999999);plate_small: (-0.185,0.928,0.48103500000000005);fork: (-0.251825,0.744246,0.557668);cup: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);k: (-0.07699199999999999,0.733425,0.531662);r: (-0.500441,0.743324,0.5217109999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.7159989999999999,1.23301,0.469001);fork: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);spoon: (0.071911,0.746328,0.519848);spoon: (0.10966,0.7466,0.505875);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.66,0.9232809999999999,0.438);r: (-0.606068,0.743321,0.524829)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.892
